SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
self-tracking_0101,1,n,4,2,34,312.015517950058,316.5278420448303,Hard,"[12, 7, 10, 3, 11, 9, 1, 6]","[9, 3, 11, 10, 12, 5, 1, 7]",2,2,1,1.6711328029632568
self-tracking_0101,1,n,4,2,35,320.0037958621979,324.5324969291687,Hard,"[8, 6, 5, 9, 3, 12, 4, 1]","[7, 5, 8, 9, 10, 6, 12, 3]",2,2,1,1.4538919925689697
self-tracking_0101,1,n,4,2,36,328.00883293151855,332.5207550525665,Hard,"[1, 5, 8, 9, 2, 7, 3, 12]","[8, 2, 12, 7, 9, 1, 5, 10]",1,2,0,2.072291851043701
self-tracking_0101,1,n,4,2,37,336.01350498199463,340.5258388519287,Easy,"[9, 11, 3, 7]","[11, 7, 3, 6]",1,1,1,1.1028671264648438
self-tracking_0101,1,n,4,2,38,344.0017340183258,348.53081798553467,Easy,"[5, 6, 11, 12]","[5, 6, 11, 7]",1,1,1,0.885653018951416
self-tracking_0101,1,n,4,2,39,352.00678396224976,356.5190680027008,Easy,"[11, 8, 5, 7]","[7, 5, 8, 10]",1,1,1,1.1029949188232422
self-tracking_0101,1,n,4,2,40,360.01178789138794,364.5238268375397,Easy,"[10, 6, 8, 2]","[6, 10, 8, 4]",2,2,1,1.269963026046753
self-tracking_0101,1,n,4,2,41,368.00006794929504,372.52882194519043,Easy,"[11, 6, 7, 12]","[11, 7, 12, 3]",1,1,1,0.9524960517883301
self-tracking_0101,1,n,4,2,42,376.00477385520935,380.5170650482178,Easy,"[8, 3, 11, 5]","[3, 8, 11, 6]",1,1,1,1.1029648780822754
self-tracking_0101,1,n,4,2,43,384.0097699165344,388.52210903167725,Easy,"[7, 4, 2, 1]","[2, 7, 1, 6]",1,1,1,1.6710758209228516
self-tracking_0101,1,n,4,2,44,392.0147159099579,396.52710795402527,Easy,"[7, 3, 6, 1]","[3, 7, 6, 10]",2,2,1,1.069530963897705
self-tracking_0101,1,n,4,2,45,400.00305104255676,404.5318138599396,Hard,"[7, 12, 10, 11, 5, 6, 2, 3]","[12, 11, 5, 8, 7, 6, 10, 9]",2,2,1,0.7854301929473877
self-tracking_0101,1,n,4,2,46,408.00806283950806,412.52017283439636,Hard,"[5, 11, 2, 8, 9, 12, 7, 6]","[8, 6, 5, 11, 9, 2, 7, 10]",1,1,1,1.9049580097198486
self-tracking_0101,1,n,4,2,47,416.0127098560333,420.5251090526581,Hard,"[7, 6, 4, 8, 2, 10, 11, 5]","[4, 10, 7, 11, 8, 2, 3, 6]",2,1,0,1.8716299533843994
self-tracking_0101,1,n,4,2,48,424.00108885765076,428.5300929546356,Hard,"[7, 1, 4, 11, 10, 8, 2, 3]","[1, 6, 4, 10, 7, 11, 2, 8]",2,1,0,2.37300705909729
