onset	duration	trial_type	response_time	accuracy	stimtype	nback
2.016352891921997	1.0	characters_2back	0.7266790866851807	1	chinese_characters	2
4.017210006713867	1.0	characters_2back	0.5518929958343506	1	chinese_characters	2
6.017950057983398	1.0	characters_2back	0.6212787628173828	1	chinese_characters	2
8.018786907196045	1.0	characters_2back	n/a	0	chinese_characters	2
10.019606828689575	1.0	characters_2back	0.7757351398468018	1	chinese_characters	2
12.020423889160156	1.0	characters_2back	0.8009209632873535	1	chinese_characters	2
14.021294832229614	1.0	characters_2back	0.7602071762084961	1	chinese_characters	2
16.022133827209473	1.0	characters_2back	0.47933006286621094	1	chinese_characters	2
18.02294087409973	1.0	characters_2back	0.9465920925140381	1	chinese_characters	2
20.02377486228943	1.0	characters_2back	0.6598241329193115	1	chinese_characters	2
24.008666038513184	1.0	faces_2back	0.8570408821105957	1	faces	2
26.009493827819824	1.0	faces_2back	0.6402430534362793	1	faces	2
28.01038384437561	1.0	faces_2back	0.8174891471862793	1	faces	2
30.011175870895386	1.0	faces_2back	n/a	0	faces	2
32.01197791099548	1.0	faces_2back	0.8539960384368896	1	faces	2
34.012763023376465	1.0	faces_2back	0.709277868270874	1	faces	2
36.0136079788208	1.0	faces_2back	0.5466160774230957	1	faces	2
38.014456033706665	1.0	faces_2back	0.6057078838348389	1	faces	2
40.015228033065796	1.0	faces_2back	0.7189478874206543	1	faces	2
42.01613092422485	1.0	faces_2back	0.8401930332183838	1	faces	2
46.017791986465454	1.0	characters_1back	0.582421064376831	1	chinese_characters	1
48.01860284805298	1.0	characters_1back	0.6915061473846436	1	chinese_characters	1
50.019388914108276	1.0	characters_1back	0.6271059513092041	1	chinese_characters	1
52.02023983001709	1.0	characters_1back	0.5982351303100586	1	chinese_characters	1
54.02105784416199	1.0	characters_1back	0.6335580348968506	1	chinese_characters	1
56.021812915802	1.0	characters_1back	0.5708410739898682	1	chinese_characters	1
58.02271485328674	1.0	characters_1back	0.6939761638641357	1	chinese_characters	1
60.02349591255188	1.0	characters_1back	0.6572830677032471	1	chinese_characters	1
62.02429485321045	1.0	characters_1back	0.5865139961242676	1	chinese_characters	1
64.02513790130615	1.0	characters_1back	0.5608220100402832	1	chinese_characters	1
68.01015186309814	1.0	scenes_2back	0.6608490943908691	1	scenes	2
70.01096487045288	1.0	scenes_2back	0.5721590518951416	1	scenes	2
72.01175785064697	1.0	scenes_2back	0.6023581027984619	1	scenes	2
74.01262593269348	1.0	scenes_2back	0.7433691024780273	1	scenes	2
76.01342797279358	1.0	scenes_2back	0.6358060836791992	1	scenes	2
78.01423501968384	1.0	scenes_2back	0.650068998336792	1	scenes	2
80.01507592201233	1.0	scenes_2back	0.7912240028381348	1	scenes	2
82.01591992378235	1.0	scenes_2back	0.749413013458252	1	scenes	2
84.01670694351196	1.0	scenes_2back	0.5947480201721191	1	scenes	2
86.01753091812134	1.0	scenes_2back	0.7818050384521484	1	scenes	2
90.01921200752258	1.0	scenes_1back	0.4502890110015869	1	scenes	1
92.02004098892212	1.0	scenes_1back	0.546630859375	1	scenes	1
94.02079486846924	1.0	scenes_1back	0.563927173614502	1	scenes	1
96.00494384765625	1.0	scenes_1back	0.44483208656311035	1	scenes	1
98.00580382347107	1.0	scenes_1back	0.47501301765441895	1	scenes	1
100.00661897659302	1.0	scenes_1back	0.5193860530853271	1	scenes	1
102.0074188709259	1.0	scenes_1back	0.5084810256958008	1	scenes	1
104.0082278251648	1.0	scenes_1back	0.5117661952972412	1	scenes	1
106.00906586647034	1.0	scenes_1back	0.5590250492095947	1	scenes	1
108.00985884666443	1.0	scenes_1back	0.4782121181488037	1	scenes	1
112.0282039642334	1.0	faces_1back	0.46598386764526367	1	faces	1
114.01232099533081	1.0	faces_1back	0.5019519329071045	1	faces	1
116.01316905021667	1.0	faces_1back	0.6712539196014404	1	faces	1
118.01402187347412	1.0	faces_1back	0.6223621368408203	1	faces	1
120.01478385925293	1.0	faces_1back	0.8976211547851562	1	faces	1
122.01566290855408	1.0	faces_1back	0.5418500900268555	1	faces	1
124.01645803451538	1.0	faces_1back	0.594160795211792	1	faces	1
126.01735091209412	1.0	faces_1back	0.6212999820709229	1	faces	1
128.01816987991333	1.0	faces_1back	0.5465130805969238	1	faces	1
130.01891994476318	1.0	faces_1back	0.5039389133453369	1	faces	1
154.02883005142212	1.0	characters_2back	0.5865828990936279	1	chinese_characters	2
156.01297092437744	1.0	characters_2back	0.8075010776519775	1	chinese_characters	2
158.01382899284363	1.0	characters_2back	0.693526029586792	1	chinese_characters	2
160.01465702056885	1.0	characters_2back	0.713972806930542	1	chinese_characters	2
162.0154628753662	1.0	characters_2back	0.7541680335998535	1	chinese_characters	2
164.01622486114502	1.0	characters_2back	0.8714661598205566	1	chinese_characters	2
166.01706504821777	1.0	characters_2back	0.9807429313659668	1	chinese_characters	2
168.01794004440308	1.0	characters_2back	0.5969228744506836	0	chinese_characters	2
170.01872897148132	1.0	characters_2back	0.6391119956970215	1	chinese_characters	2
172.01954102516174	1.0	characters_2back	0.6144068241119385	1	chinese_characters	2
176.02117800712585	1.0	faces_2back	0.46063804626464844	1	faces	2
178.02200889587402	1.0	faces_2back	0.6420481204986572	1	faces	2
180.02278184890747	1.0	faces_2back	0.6683661937713623	1	faces	2
182.0236828327179	1.0	faces_2back	0.561427116394043	1	faces	2
184.02447605133057	1.0	faces_2back	0.663780927658081	1	faces	2
186.02531003952026	1.0	faces_2back	0.6191909313201904	1	faces	2
188.02614283561707	1.0	faces_2back	0.6541271209716797	1	faces	2
190.01030802726746	1.0	faces_2back	0.7942709922790527	1	faces	2
192.01114082336426	1.0	faces_2back	0.6313591003417969	1	faces	2
194.01194405555725	1.0	faces_2back	0.6266648769378662	1	faces	2
198.01357102394104	1.0	characters_1back	0.566990852355957	1	chinese_characters	1
200.01442503929138	1.0	characters_1back	0.5323019027709961	1	chinese_characters	1
202.01523303985596	1.0	characters_1back	0.5996308326721191	1	chinese_characters	1
204.0160129070282	1.0	characters_1back	0.5288059711456299	1	chinese_characters	1
206.01686882972717	1.0	characters_1back	0.5150182247161865	1	chinese_characters	1
208.01769089698792	1.0	characters_1back	0.518286943435669	1	chinese_characters	1
210.018492937088	1.0	characters_1back	0.6345388889312744	1	chinese_characters	1
212.01926398277283	1.0	characters_1back	0.6157979965209961	1	chinese_characters	1
214.02019095420837	1.0	characters_1back	0.5989089012145996	1	chinese_characters	1
216.02094793319702	1.0	characters_1back	0.5384030342102051	1	chinese_characters	1
220.02265095710754	1.0	scenes_2back	0.6729309558868408	1	scenes	2
222.00673699378967	1.0	scenes_2back	0.5386719703674316	1	scenes	2
224.00753784179688	1.0	scenes_2back	0.5888631343841553	0	scenes	2
226.00844192504883	1.0	scenes_2back	0.563014030456543	1	scenes	2
228.00919604301453	1.0	scenes_2back	0.6783678531646729	1	scenes	2
230.00999784469604	1.0	scenes_2back	n/a	0	scenes	2
232.0108368396759	1.0	scenes_2back	0.73679518699646	1	scenes	2
234.01164984703064	1.0	scenes_2back	0.4960520267486572	1	scenes	2
236.0124909877777	1.0	scenes_2back	0.7232258319854736	1	scenes	2
238.013365983963	1.0	scenes_2back	0.60453200340271	1	scenes	2
242.01504397392273	1.0	scenes_1back	0.42493700981140137	1	scenes	1
244.01584386825562	1.0	scenes_1back	0.5241270065307617	1	scenes	1
246.01665687561035	1.0	scenes_1back	0.465346097946167	1	scenes	1
