onset	duration	condition	trial_type	response_time
16.00485587120056	4.5	Easy	spatial	n/a
20.52145195007324	1.0	Easy	probe	1.069443941116333
24.014132976531982	4.5	Easy	spatial	n/a
28.53116798400879	1.0	Easy	probe	1.353646993637085
32.00716710090637	4.5	Easy	spatial	n/a
36.52164602279663	1.0	Easy	probe	1.1055870056152344
40.0000319480896	4.5	Easy	spatial	n/a
44.52890396118164	1.0	Easy	probe	2.0749850273132324
48.00982999801636	4.5	Hard	spatial	n/a
52.521881103515625	1.0	Hard	probe	1.404627799987793
56.0150089263916	4.5	Hard	spatial	n/a
60.53161597251892	1.0	Hard	probe	1.8549721240997317
64.00743508338928	4.5	Hard	spatial	n/a
68.52459907531738	1.0	Hard	probe	2.139025926589966
72.00051808357239	4.5	Hard	spatial	n/a
76.53177690505981	1.0	Hard	probe	1.322749137878418
80.01011395454407	4.5	Hard	spatial	n/a
84.5222840309143	1.0	Hard	probe	1.0027430057525637
88.00334000587463	4.5	Hard	spatial	n/a
92.5320999622345	1.0	Hard	probe	1.520761013031006
96.0082700252533	4.5	Hard	spatial	n/a
100.52502608299255	1.0	Hard	probe	1.5707509517669678
104.0010268688202	4.5	Hard	spatial	n/a
108.5181028842926	1.0	Hard	probe	1.119753122329712
112.01068592071532	4.5	Easy	spatial	n/a
116.52497506141664	1.0	Easy	probe	1.022174835205078
120.00370597839355	4.5	Easy	spatial	n/a
124.53231287002563	1.0	Easy	probe	1.2703001499176023
128.01336193084717	4.5	Easy	spatial	n/a
132.5253369808197	1.0	Easy	probe	0.9694020748138428
136.00160098075867	4.5	Easy	spatial	n/a
140.518306016922	1.0	Easy	probe	0.5516588687896729
160.01385402679443	4.5	Hard	spatial	n/a
164.52595686912537	1.0	Hard	probe	1.2365942001342771
168.00683403015137	4.5	Hard	spatial	n/a
172.51881408691406	1.0	Hard	probe	1.2033729553222656
176.01182293891907	4.5	Hard	spatial	n/a
180.52862191200256	1.0	Hard	probe	1.737957000732422
184.00455403327945	4.5	Hard	spatial	n/a
188.5216219425201	1.0	Hard	probe	1.2533609867095947
192.01433396339417	4.5	Easy	spatial	n/a
196.52857995033264	1.0	Easy	probe	0.6543440818786621
200.00728297233584	4.5	Easy	spatial	n/a
204.5193328857422	1.0	Easy	probe	0.9859330654144288
208.0010139942169	4.5	Easy	spatial	n/a
212.5290460586548	1.0	Easy	probe	1.6211848258972168
216.0052149295807	4.5	Easy	spatial	n/a
220.52202701568604	1.0	Easy	probe	0.9027960300445556
224.01454496383667	4.5	Easy	spatial	n/a
228.5316300392151	1.0	Easy	probe	1.3704500198364258
232.0077509880066	4.5	Easy	spatial	n/a
236.52180194854736	1.0	Easy	probe	1.1393589973449707
240.00071597099304	4.5	Easy	spatial	n/a
244.5294780731201	1.0	Easy	probe	1.1697869300842283
248.01040506362915	4.5	Easy	spatial	n/a
252.5224540233612	1.0	Easy	probe	1.2868289947509766
256.0151391029358	4.5	Hard	spatial	n/a
260.5320689678192	1.0	Hard	probe	1.5711750984191897
264.0081090927124	4.5	Hard	spatial	n/a
268.52518796920776	1.0	Hard	probe	1.9051389694213867
272.00121998786926	4.5	Hard	spatial	n/a
276.53195309638977	1.0	Hard	probe	2.543056964874268
280.0109100341797	4.5	Hard	spatial	n/a
284.52291202545166	1.0	Hard	probe	1.2699189186096191
304.0015470981598	4.5	Easy	spatial	n/a
308.5186219215393	1.0	Easy	probe	0.8857841491699219
312.0111351013184	4.5	Easy	spatial	n/a
316.5251250267029	1.0	Easy	probe	0.738440990447998
320.00427508354187	4.5	Easy	spatial	n/a
324.533047914505	1.0	Easy	probe	1.1699140071868896
328.01397705078125	4.5	Easy	spatial	n/a
332.52602887153625	1.0	Easy	probe	1.0361101627349854
336.0019989013672	4.5	Hard	spatial	n/a
340.5190439224243	1.0	Hard	probe	1.8213789463043213
344.0115718841553	4.5	Hard	spatial	n/a
348.52876496315	1.0	Hard	probe	1.537559986114502
352.004714012146	4.5	Hard	spatial	n/a
356.518590927124	1.0	Hard	probe	2.192294120788574
360.0142619609833	4.5	Hard	spatial	n/a
364.5264790058136	1.0	Hard	probe	1.6047658920288086
368.00745010375977	4.5	Hard	spatial	n/a
372.5193440914154	1.0	Hard	probe	1.370337963104248
376.0121660232544	4.5	Hard	spatial	n/a
380.5291919708252	1.0	Hard	probe	1.520716905593872
384.0051219463349	4.5	Hard	spatial	n/a
388.522036075592	1.0	Hard	probe	1.2869279384613037
392.0017919540405	4.5	Hard	spatial	n/a
396.5319080352783	1.0	Hard	probe	1.1029088497161863
400.0078539848328	4.5	Easy	spatial	n/a
404.5197470188141	1.0	Easy	probe	1.0864229202270508
408.0009229183197	4.5	Easy	spatial	n/a
412.5296669006348	1.0	Easy	probe	1.286816120147705
416.00556993484497	4.5	Easy	spatial	n/a
420.5227060317993	1.0	Easy	probe	1.83806586265564
424.0153069496155	4.5	Easy	spatial	n/a
428.5323839187622	1.0	Easy	probe	1.18654203414917
