onset	duration	condition	trial_type	response_time
16.016366958618164	4.5	Hard	spatial	n/a
20.52882504463196	1.0	Hard	probe	1.1697678565979004
24.004753828048703	4.5	Hard	spatial	n/a
28.51709890365601	1.0	Hard	probe	2.1558871269226074
32.00974988937378	4.5	Hard	spatial	n/a
36.52197885513306	1.0	Hard	probe	1.4706239700317385
40.01474905014038	4.5	Hard	spatial	n/a
44.52686285972595	1.0	Hard	probe	2.2395331859588623
48.003010988235474	4.5	Easy	spatial	n/a
52.5317919254303	1.0	Easy	probe	1.1697709560394287
56.00775504112244	4.5	Easy	spatial	n/a
60.520015001297	1.0	Easy	probe	1.303544998168945
64.01273989677429	4.5	Easy	spatial	n/a
68.52499103546143	1.0	Easy	probe	1.7380149364471436
72.00102400779724	4.5	Easy	spatial	n/a
76.53001403808594	1.0	Easy	probe	2.0555639266967773
80.00602293014526	4.5	Easy	spatial	n/a
84.51806902885437	1.0	Easy	probe	1.4706079959869385
88.01101803779602	4.5	Easy	spatial	n/a
92.52308988571168	1.0	Easy	probe	1.4037280082702637
96.01572704315186	4.5	Easy	spatial	n/a
100.52796983718872	1.0	Easy	probe	1.2534441947937012
104.00396394729614	4.5	Easy	spatial	n/a
108.53306603431702	1.0	Easy	probe	1.2366859912872314
112.00957703590392	4.5	Hard	spatial	n/a
116.5213508605957	1.0	Hard	probe	1.1363611221313477
120.01392889022829	4.5	Hard	spatial	n/a
124.52605891227722	1.0	Hard	probe	1.4204671382904053
128.0022919178009	4.5	Hard	spatial	n/a
132.5310468673706	1.0	Hard	probe	1.2700660228729248
136.00695490837097	4.5	Hard	spatial	n/a
140.51933598518372	1.0	Hard	probe	1.9718890190124512
160.00527596473694	4.5	Easy	spatial	n/a
164.51732897758484	1.0	Easy	probe	1.6711859703063965
168.01025295257568	4.5	Easy	spatial	n/a
172.5223228931427	1.0	Easy	probe	1.1864631175994873
176.01498889923096	4.5	Easy	spatial	n/a
180.52731895446777	1.0	Easy	probe	1.3703300952911377
184.0032768249512	4.5	Easy	spatial	n/a
188.53225994110107	1.0	Easy	probe	1.3202509880065918
192.00826501846316	4.5	Hard	spatial	n/a
196.52059698104856	1.0	Hard	probe	1.988900899887085
200.01322388648987	4.5	Hard	spatial	n/a
204.52532291412356	1.0	Hard	probe	1.8548951148986816
208.00148701667783	4.5	Hard	spatial	n/a
212.5302469730377	1.0	Hard	probe	1.4037649631500244
216.0062608718872	4.5	Hard	spatial	n/a
220.51859402656555	1.0	Hard	probe	1.520671844482422
224.01115894317627	4.5	Hard	spatial	n/a
228.5235979557037	1.0	Hard	probe	1.8883540630340576
232.0162668228149	4.5	Hard	spatial	n/a
236.52853298187256	1.0	Hard	probe	1.6042790412902832
240.00448203086853	4.5	Hard	spatial	n/a
244.5332138538361	1.0	Hard	probe	1.6376991271972656
248.00953483581543	4.5	Hard	spatial	n/a
252.52148294448853	1.0	Hard	probe	0.869041919708252
256.0142889022827	4.5	Easy	spatial	n/a
260.52657890319824	1.0	Easy	probe	1.286797046661377
264.0025248527527	4.5	Easy	spatial	n/a
268.53153586387634	1.0	Easy	probe	1.487354040145874
272.0074758529663	4.5	Easy	spatial	n/a
276.5198588371277	1.0	Easy	probe	1.921746015548706
280.0125198364258	4.5	Easy	spatial	n/a
284.52450299263	1.0	Easy	probe	1.320206880569458
304.0105128288269	4.5	Hard	spatial	n/a
308.5228838920593	1.0	Hard	probe	1.6711030006408691
312.015517950058	4.5	Hard	spatial	n/a
316.5278420448303	1.0	Hard	probe	1.6711328029632568
320.0037958621979	4.5	Hard	spatial	n/a
324.5324969291687	1.0	Hard	probe	1.4538919925689695
328.0088329315185	4.5	Hard	spatial	n/a
332.5207550525665	1.0	Hard	probe	2.072291851043701
336.01350498199463	4.5	Easy	spatial	n/a
340.5258388519287	1.0	Easy	probe	1.1028671264648438
344.0017340183258	4.5	Easy	spatial	n/a
348.53081798553467	1.0	Easy	probe	0.885653018951416
352.00678396224976	4.5	Easy	spatial	n/a
356.5190680027008	1.0	Easy	probe	1.1029949188232422
360.01178789138794	4.5	Easy	spatial	n/a
364.5238268375397	1.0	Easy	probe	1.269963026046753
368.00006794929504	4.5	Easy	spatial	n/a
372.5288219451904	1.0	Easy	probe	0.95249605178833
376.00477385520935	4.5	Easy	spatial	n/a
380.5170650482178	1.0	Easy	probe	1.1029648780822754
384.0097699165344	4.5	Easy	spatial	n/a
388.5221090316773	1.0	Easy	probe	1.6710758209228516
392.0147159099579	4.5	Easy	spatial	n/a
396.52710795402527	1.0	Easy	probe	1.069530963897705
400.0030510425568	4.5	Hard	spatial	n/a
404.5318138599396	1.0	Hard	probe	0.7854301929473877
408.00806283950806	4.5	Hard	spatial	n/a
412.5201728343964	1.0	Hard	probe	1.9049580097198489
416.0127098560333	4.5	Hard	spatial	n/a
420.5251090526581	1.0	Hard	probe	1.8716299533843996
424.0010888576508	4.5	Hard	spatial	n/a
428.5300929546356	1.0	Hard	probe	2.37300705909729
