onset	duration	trial_type	response_time	accuracy	motion_coherence	SSD	stop_success
2.267000000000735	0.6639999999997599	go	0.652	1	-0.7	n/a	n/a
5.267000000000735	0.5199999999995271	go	0.518	1	-0.7	n/a	n/a
8.267000000000735	0.569999999999709	go	0.569	1	0.7	n/a	n/a
12.517000000000735	0.5219999999999345	go	0.521	1	0.7	n/a	n/a
15.516000000000531	0.7869999999993524	go	0.785	1	0.3	n/a	n/a
22.26600000000053	0.6210000000000946	go	0.619	1	0.1	n/a	n/a
26.01600000000053	0.9539999999997235	go	0.952	1	-0.1	n/a	n/a
31.01600000000053	0.7539999999999054	go	0.752	1	0.0	n/a	n/a
35.51600000000053	0.4219999999995707	stop	0.419	1	-0.3	0.3	0
39.01600000000053	0.7209999999995489	go	0.719	0	-0.1	n/a	n/a
44.76600000000053	0.7869999999993524	go	0.785	1	0.1	n/a	n/a
51.51600000000053	0.6529999999993379	stop	0.652	1	-0.1	0.3	0
55.51600000000053	1.7539999999999054	stop	n/a	n/a	-0.7	0.3	1
64.51500000000033	1.7539999999999054	stop	n/a	n/a	0.3	0.275	1
68.51500000000033	0.48800000000028376	go	0.485	1	0.3	n/a	n/a
75.01500000000033	0.7539999999999054	go	0.752	1	0.0	n/a	n/a
81.76500000000033	0.5039999999999054	go	0.502	1	0.7	n/a	n/a
87.26500000000033	0.555000000000291	stop	0.553	1	0.7	0.325	0
91.01500000000033	0.8369999999995343	go	0.835	0	0.0	n/a	n/a
95.51500000000033	0.6040000000002692	go	0.602	0	-0.1	n/a	n/a
100.26400000000012	1.7539999999999054	stop	n/a	n/a	0.0	0.3	1
104.76400000000012	1.7579999999998108	stop	n/a	n/a	0.1	0.275	1
111.26400000000012	0.48700000000008004	go	0.485	1	-0.7	n/a	n/a
115.01400000000012	0.6710000000002765	go	0.669	1	0.1	n/a	n/a
118.26400000000012	0.43699999999989814	go	0.435	1	-0.3	n/a	n/a
127.01400000000012	0.5039999999999054	go	0.502	1	-0.3	n/a	n/a
131.01400000000012	0.7530000000006112	go	0.752	1	-0.3	n/a	n/a
134.01400000000012	0.5030000000006112	go	0.502	1	0.3	n/a	n/a
141.01299999999992	1.7560000000003129	stop	n/a	n/a	0.3	0.3	1
145.01299999999992	1.754000000000815	stop	n/a	n/a	-0.1	0.3	1
153.51299999999992	0.5710000000008222	go	0.569	0	0.0	n/a	n/a
156.76299999999992	0.7229999999999563	go	0.719	1	0.1	n/a	n/a
165.01299999999992	0.7210000000004584	go	0.719	1	-0.1	n/a	n/a
175.01200000000063	0.5549999999993815	go	0.552	1	-0.3	n/a	n/a
178.51299999999992	0.7880000000004657	go	0.786	1	-0.1	n/a	n/a
183.76200000000063	0.5039999999999054	go	0.502	1	0.3	n/a	n/a
187.01200000000063	0.556999999999789	go	0.554	0	0.1	n/a	n/a
190.76200000000063	1.7579999999998108	stop	n/a	n/a	0.0	0.325	1
193.76200000000063	0.6049999999995634	stop	0.603	1	0.7	0.3	0
