onset	duration	trial_type	response_time	accuracy	motion_coherence	SSD	stop_success
2.0169999999998254	1.1480000000001382	go	1.135	1	-0.3	n/a	n/a
5.516999999999825	1.7530000000001564	stop	n/a	n/a	0.0	0.3	1
8.766999999999825	1.7530000000001564	stop	n/a	n/a	0.1	0.3	1
14.516999999999825	0.7210000000000036	go	0.719	1	0.3	n/a	n/a
19.266999999999825	0.5870000000004438	go	0.585	1	0.7	n/a	n/a
26.766000000000076	1.1050000000000182	go	1.103	1	-0.1	n/a	n/a
30.516000000000076	0.7539999999999054	go	0.752	1	0.1	n/a	n/a
34.266000000000076	1.7539999999999054	stop	n/a	n/a	0.3	0.3	1
37.266000000000076	1.7539999999999054	stop	n/a	n/a	0.7	0.3	1
44.016000000000076	0.637000000000171	go	0.635	1	-0.1	n/a	n/a
49.016000000000076	0.73700000000008	go	0.735	1	0.1	n/a	n/a
54.516000000000076	1.0219999999999345	go	1.02	0	0.0	n/a	n/a
60.016000000000076	1.0720000000001164	go	1.069	1	-0.1	n/a	n/a
63.516000000000076	0.7040000000001783	go	0.702	1	-0.7	n/a	n/a
66.76600000000008	0.5700000000001637	go	0.569	1	0.7	n/a	n/a
73.01499999999987	0.6870000000003529	go	0.685	1	0.0	n/a	n/a
77.51499999999987	0.5869999999999891	go	0.585	1	-0.3	n/a	n/a
81.26499999999987	0.5370000000002619	go	0.535	1	0.3	n/a	n/a
87.01499999999987	0.5540000000000873	go	0.552	1	-0.7	n/a	n/a
92.51499999999987	0.8200000000001637	go	0.819	1	0.3	n/a	n/a
96.26499999999987	0.47000000000025466	go	0.469	1	-0.3	n/a	n/a
99.51499999999987	0.5530000000003383	stop	0.552	1	-0.3	0.325	0
106.01400000000012	0.6210000000000946	go	0.619	0	0.0	n/a	n/a
110.51400000000012	0.44099999999980355	stop	0.438	1	-0.1	0.325	0
113.51400000000012	0.737999999999829	stop	0.736	1	-0.7	0.325	0
121.26400000000012	0.8040000000000873	go	0.802	1	0.1	n/a	n/a
128.51400000000012	0.569999999999709	go	0.569	1	0.7	n/a	n/a
135.26400000000012	0.6369999999997162	go	0.635	1	-0.7	n/a	n/a
140.26400000000012	0.43699999999989814	stop	0.435	1	0.3	0.3	0
146.76299999999992	0.7040000000001783	go	0.702	1	-0.3	n/a	n/a
150.01299999999992	1.7539999999999054	stop	n/a	n/a	-0.7	0.3	1
157.26299999999992	0.7040000000001783	go	0.702	1	-0.7	n/a	n/a
162.51299999999992	1.7550000000001091	stop	n/a	n/a	0.7	0.325	1
167.26299999999992	1.7530000000001564	stop	n/a	n/a	-0.1	0.3	1
171.26299999999992	0.5540000000000873	stop	0.552	1	0.1	0.325	0
176.26299999999992	0.5700000000001637	go	0.569	1	-0.3	n/a	n/a
180.76299999999992	0.5530000000003383	go	0.552	1	0.3	n/a	n/a
185.26200000000017	0.5709999999999127	go	0.569	0	0.1	n/a	n/a
195.26200000000017	0.5380000000000109	go	0.535	1	-0.7	n/a	n/a
200.26200000000017	0.42099999999982174	go	0.419	1	0.7	n/a	n/a
204.76200000000017	0.5369999999998072	go	0.535	1	-0.1	n/a	n/a
210.26200000000017	0.569999999999709	go	0.569	1	-0.7	n/a	n/a
213.76200000000017	0.38799999999991996	stop	0.386	1	0.0	0.325	0
216.76200000000017	0.6039999999998145	go	0.602	1	0.0	n/a	n/a
220.76200000000017	0.4739999999997053	go	0.471	1	0.3	n/a	n/a
225.26099999999997	0.5219999999999345	go	0.52	1	-0.1	n/a	n/a
233.26099999999997	0.43699999999989814	go	0.435	0	-0.1	n/a	n/a
238.26099999999997	0.43699999999989814	go	0.435	0	0.7	n/a	n/a
241.51099999999997	0.5700000000001637	go	0.569	1	0.7	n/a	n/a
245.26099999999997	0.637000000000171	go	0.635	0	0.3	n/a	n/a
249.01099999999997	1.7530000000001564	stop	n/a	n/a	-0.3	0.275	1
254.51099999999997	0.43699999999989814	go	0.436	1	0.0	n/a	n/a
259.26099999999997	0.6030000000000655	go	0.602	1	0.1	n/a	n/a
267.5100000000002	0.5709999999999127	go	0.569	0	0.1	n/a	n/a
271.7600000000002	0.6869999999998981	go	0.685	1	-0.3	n/a	n/a
276.5100000000002	0.7039999999997235	go	0.702	0	0.0	n/a	n/a
280.2600000000002	0.4539999999997235	go	0.452	1	0.0	n/a	n/a
284.7600000000002	0.5539999999996326	stop	0.552	0	-0.1	0.3	0
291.2600000000002	0.6720000000000255	go	0.67	1	0.7	n/a	n/a
299.009	0.6709999999998217	go	0.669	0	0.1	n/a	n/a
306.009	0.9710000000000036	go	0.969	1	0.1	n/a	n/a
312.009	0.5380000000000109	go	0.536	1	-0.7	n/a	n/a
320.259	0.5210000000001855	go	0.519	1	0.7	n/a	n/a
325.009	0.5239999999998872	go	0.521	1	-0.7	n/a	n/a
331.509	0.5529999999998836	stop	0.552	1	0.3	0.3	0
338.50800000000027	0.6709999999998217	go	0.669	1	-0.3	n/a	n/a
346.50800000000027	0.5709999999999127	go	0.569	1	-0.1	n/a	n/a
352.75800000000027	0.5209999999997308	stop	0.519	1	0.7	0.35	0
357.50800000000027	1.7549999999996544	stop	n/a	n/a	-0.7	0.325	1
363.00800000000027	0.6039999999998145	go	0.602	0	-0.1	n/a	n/a
366.75800000000027	0.5869999999999891	go	0.585	1	-0.1	n/a	n/a
371.00800000000027	0.9699999999997999	go	0.968	0	0.0	n/a	n/a
374.25800000000027	0.7029999999999745	go	0.702	1	0.1	n/a	n/a
377.50700000000006	0.7539999999999054	go	0.752	1	0.3	n/a	n/a
381.50700000000006	0.637000000000171	go	0.635	1	0.3	n/a	n/a
385.50700000000006	1.7579999999998108	stop	n/a	n/a	0.1	0.275	1
392.25700000000006	0.5869999999999891	go	0.585	0	0.0	n/a	n/a
395.50700000000006	0.5540000000000873	go	0.552	1	0.3	n/a	n/a
399.25700000000006	0.5540000000000873	go	0.552	1	0.7	n/a	n/a
406.00700000000006	1.7570000000000618	stop	n/a	n/a	0.0	0.3	1
409.75700000000006	0.36999999999989086	stop	0.368	0	-0.3	0.275	0
416.50700000000006	0.5869999999999891	go	0.585	1	-0.3	n/a	n/a
422.50700000000006	0.4699999999997999	go	0.468	0	-0.7	n/a	n/a
428.25700000000006	0.5700000000001637	go	0.569	1	-0.3	n/a	n/a
