onset	duration	trial_type	response_time	accuracy	motion_coherence	SSD	stop_success
2.2660000000000764	0.6320000000000618	go	0.619	1	0.7	n/a	n/a
5.766000000000076	0.6050000000000182	go	0.602	1	0.7	n/a	n/a
11.266000000000076	1.1869999999998981	go	1.185	0	0.1	n/a	n/a
14.266000000000076	1.637000000000171	go	1.635	1	0.1	n/a	n/a
17.766000000000076	0.6700000000000728	go	0.669	1	-0.7	n/a	n/a
21.016000000000076	0.43699999999989814	go	0.435	1	0.3	n/a	n/a
24.766000000000076	0.9030000000002474	go	0.902	0	0.0	n/a	n/a
32.016000000000076	0.5729999999998654	go	0.569	1	-0.3	n/a	n/a
35.016000000000076	0.7870000000002619	go	0.785	0	0.0	n/a	n/a
42.01500000000033	0.5869999999999891	go	0.585	1	0.1	n/a	n/a
45.01500000000033	0.5539999999996326	go	0.552	1	-0.7	n/a	n/a
49.26500000000033	1.7539999999999054	stop	n/a	n/a	-0.1	0.3	1
52.51500000000033	0.5049999999996544	go	0.503	1	0.3	n/a	n/a
56.01500000000033	0.4699999999997999	stop	0.469	1	0.3	0.3	0
59.76500000000033	1.7549999999996544	stop	n/a	n/a	0.1	0.325	1
63.76500000000033	0.7039999999997235	stop	0.703	1	-0.3	0.275	0
68.01500000000033	0.7539999999999054	go	0.752	0	-0.1	n/a	n/a
78.01400000000012	0.6210000000000946	go	0.619	1	-0.3	n/a	n/a
83.01400000000012	1.0039999999999054	go	1.002	0	0.0	n/a	n/a
86.76400000000012	1.7539999999999054	stop	n/a	n/a	0.0	0.3	1
93.01400000000012	0.5709999999999127	stop	0.569	1	-0.7	0.3	0
99.01400000000012	0.7699999999999818	go	0.769	1	-0.3	n/a	n/a
104.01400000000012	0.6869999999998981	go	0.685	1	-0.1	n/a	n/a
111.76400000000012	1.086999999999989	go	1.085	1	-0.1	n/a	n/a
115.26400000000012	0.6869999999998981	go	0.685	1	0.3	n/a	n/a
118.76400000000012	0.6030000000000655	go	0.602	1	0.7	n/a	n/a
123.26299999999992	0.7040000000001783	go	0.702	1	-0.7	n/a	n/a
127.76299999999992	1.7540000000003602	stop	n/a	n/a	0.7	0.275	1
131.51299999999992	0.5869999999999891	go	0.585	1	-0.7	n/a	n/a
137.26299999999992	1.7540000000003602	stop	n/a	n/a	0.0	0.325	1
144.01299999999992	0.45400000000017826	go	0.452	1	-0.7	n/a	n/a
150.26299999999992	0.5370000000002619	go	0.535	1	-0.7	n/a	n/a
154.51299999999992	0.5869999999999891	go	0.585	1	0.1	n/a	n/a
158.51299999999992	1.086999999999989	go	1.085	1	0.0	n/a	n/a
162.76200000000017	0.5709999999999127	go	0.569	1	0.3	n/a	n/a
167.26200000000017	1.7539999999999054	stop	n/a	n/a	0.3	0.25	1
171.76200000000017	1.0210000000001855	go	1.019	1	0.0	n/a	n/a
179.01200000000017	0.7240000000001601	stop	0.721	1	-0.3	0.275	0
182.76200000000017	0.73700000000008	go	0.735	1	0.1	n/a	n/a
186.51200000000017	0.7199999999997999	go	0.719	1	0.3	n/a	n/a
192.26200000000017	1.7550000000001091	stop	n/a	n/a	0.7	0.3	1
200.26099999999997	1.7540000000003602	stop	n/a	n/a	0.1	0.35	1
203.76099999999997	1.7540000000003602	stop	n/a	n/a	-0.1	0.375	1
207.51099999999997	0.5210000000001855	go	0.519	1	-0.3	n/a	n/a
214.51099999999997	0.555000000000291	go	0.553	1	0.3	n/a	n/a
218.26099999999997	0.637000000000171	go	0.635	1	-0.1	n/a	n/a
222.26099999999997	0.5880000000001928	go	0.586	1	0.7	n/a	n/a
225.76099999999997	0.5540000000000873	go	0.552	1	0.7	n/a	n/a
231.26099999999997	0.5530000000003383	go	0.552	1	0.7	n/a	n/a
239.26000000000022	0.80600000000004	go	0.803	0	-0.1	n/a	n/a
242.76000000000022	0.5869999999999891	go	0.585	1	-0.3	n/a	n/a
246.26000000000022	0.5380000000000109	stop	0.535	1	-0.7	0.325	0
252.51000000000022	0.6210000000000946	go	0.619	1	0.1	n/a	n/a
260.0100000000002	0.7869999999998072	go	0.785	1	-0.3	n/a	n/a
267.7600000000002	0.6700000000000728	go	0.669	0	0.0	n/a	n/a
274.5100000000002	0.6369999999997162	go	0.635	1	-0.1	n/a	n/a
282.009	0.5540000000000873	go	0.552	1	0.7	n/a	n/a
285.759	0.6869999999998981	go	0.685	1	0.3	n/a	n/a
292.759	1.7580000000002656	stop	n/a	n/a	-0.3	0.25	1
297.259	0.6040000000002692	stop	0.602	1	0.3	0.275	0
300.509	0.6869999999998981	go	0.685	1	-0.7	n/a	n/a
307.259	0.6700000000000728	go	0.669	1	0.3	n/a	n/a
312.25800000000027	1.7539999999999054	stop	n/a	n/a	-0.1	0.4	1
318.00800000000027	0.5209999999997308	go	0.519	1	-0.7	n/a	n/a
324.25800000000027	0.6210000000000946	go	0.619	1	-0.1	n/a	n/a
330.00800000000027	0.5039999999999054	go	0.502	1	0.0	n/a	n/a
335.25800000000027	0.4539999999997235	go	0.452	1	0.7	n/a	n/a
339.00800000000027	0.48700000000008004	go	0.485	1	-0.7	n/a	n/a
347.50800000000027	0.45299999999997453	go	0.452	1	-0.1	n/a	n/a
351.50700000000006	0.805000000000291	go	0.802	1	0.1	n/a	n/a
355.00700000000006	0.5540000000000873	go	0.552	0	0.1	n/a	n/a
359.25700000000006	1.0729999999998654	go	1.07	1	0.1	n/a	n/a
366.50700000000006	0.5909999999998945	go	0.588	1	0.3	n/a	n/a
372.25700000000006	0.7040000000001783	go	0.702	1	-0.3	n/a	n/a
377.25700000000006	0.5370000000002619	go	0.535	1	-0.3	n/a	n/a
381.00700000000006	1.7530000000001564	stop	n/a	n/a	0.0	0.35	1
384.00700000000006	1.7530000000001564	stop	n/a	n/a	0.1	0.425	1
387.25700000000006	0.47000000000025466	stop	0.469	1	-0.7	0.3	0
391.2560000000003	1.7579999999998108	stop	n/a	n/a	0.7	0.275	1
394.7560000000003	0.47100000000000364	go	0.469	1	0.7	n/a	n/a
401.2560000000003	0.4869999999996253	go	0.485	1	-0.3	n/a	n/a
408.7560000000003	0.63799999999992	go	0.636	1	0.0	n/a	n/a
414.7560000000003	0.6369999999997162	go	0.635	0	-0.1	n/a	n/a
420.2560000000003	0.9869999999996253	go	0.985	1	0.0	n/a	n/a
