SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
self-tracking_0100,1,n,4,1,1,16.016648769378662,20.52870798110962,Easy,"[6, 5, 10, 12]","[10, 5, 6, 2]",2,1,0,1.470836877822876
self-tracking_0100,1,n,4,1,2,24.005018949508667,28.51706099510193,Easy,"[10, 3, 6, 7]","[3, 7, 6, 4]",1,1,1,0.9358108043670654
self-tracking_0100,1,n,4,1,3,32.00998091697693,36.52201795578003,Easy,"[2, 12, 7, 5]","[2, 4, 7, 12]",2,2,1,1.2533628940582275
self-tracking_0100,1,n,4,1,4,40.01475477218628,44.52712297439575,Easy,"[1, 9, 8, 3]","[8, 3, 9, 11]",1,2,0,1.1028850078582764
self-tracking_0100,1,n,4,1,5,48.00299882888794,52.53216791152954,Hard,"[11, 8, 1, 10, 7, 3, 2, 5]","[2, 5, 8, 11, 7, 3, 4, 6]",1,2,0,1.788106918334961
self-tracking_0100,1,n,4,1,6,56.00809192657471,60.52012395858765,Hard,"[9, 5, 6, 10, 8, 3, 7, 11]","[10, 9, 7, 8, 6, 5, 12, 3]",2,2,1,1.4041268825531006
self-tracking_0100,1,n,4,1,7,64.01317691802979,68.52516078948975,Hard,"[2, 3, 7, 4, 11, 6, 10, 8]","[10, 2, 7, 4, 6, 3, 12, 1]",1,1,1,1.821593999862671
self-tracking_0100,1,n,4,1,8,72.0014979839325,76.53025794029236,Hard,"[5, 6, 10, 8, 9, 2, 1, 7]","[6, 8, 1, 5, 7, 10, 3, 12]",1,1,1,2.022073984146118
self-tracking_0100,1,n,4,1,9,80.00625896453857,84.51857686042786,Hard,"[2, 11, 8, 12, 7, 10, 5, 1]","[12, 8, 7, 2, 6, 10, 3, 11]",2,2,1,1.4205090999603271
self-tracking_0100,1,n,4,1,10,88.01121187210083,92.52363896369934,Hard,"[7, 1, 10, 9, 6, 2, 12, 8]","[9, 10, 5, 2, 11, 1, 6, 7]",2,1,0,0.7854340076446533
self-tracking_0100,1,n,4,1,11,96.0163049697876,100.52834987640381,Hard,"[12, 7, 5, 8, 2, 6, 11, 4]","[12, 6, 9, 2, 5, 8, 3, 7]",2,2,1,1.7383089065551758
