trial_number,condition,subcondition,item_number,probe,corprobe_position,button_pressed,accuracy,rt
NA,fixation,NA,NA,NA,NA,NA,NA,NA
1,Nonw,1,97,2,NA,2,1,1.13467407227
2,Nonw,1,20,1,9,1,1,1.08415699005
3,Nonw,1,116,1,12,1,1,1.05099582672
4,Sent,1,75,2,NA,2,1,0.786169052124
5,Sent,1,27,1,10,1,1,1.01729488373
6,Sent,1,34,1,3,1,1,1.2013130188
7,Sent,1,103,1,11,1,1,0.819817066193
8,Sent,1,45,1,12,2,0,0.769431114197
9,Sent,1,23,2,NA,2,1,1.11770892143
10,Nonw,1,53,2,NA,2,1,0.986956119537
11,Nonw,1,36,1,12,1,1,0.735853910446
12,Nonw,1,74,1,7,1,1,1.00344109535
NA,fixation,NA,NA,NA,NA,NA,NA,NA
13,Sent,1,20,2,NA,2,1,0.852082967758
14,Sent,1,112,2,NA,2,1,0.786194086075
15,Sent,1,42,2,NA,2,1,0.886070013046
16,Nonw,1,63,2,NA,2,1,0.869961023331
17,Nonw,1,13,2,NA,2,1,0.785938024521
18,Nonw,1,111,2,NA,2,1,0.986814975739
19,Sent,1,60,2,NA,2,1,0.919867992401
20,Sent,1,24,2,NA,2,1,0.835628986359
21,Sent,1,107,2,NA,2,1,1.01742887497
22,Nonw,1,82,1,4,2,0,0.969980955124
23,Nonw,1,4,1,3,1,1,0.936461925507
24,Nonw,1,67,1,12,1,1,1.21792817116
NA,fixation,NA,NA,NA,NA,NA,NA,NA
25,Nonw,1,105,1,6,1,1,0.986390829086
26,Nonw,1,50,1,2,1,1,0.802901029587
27,Nonw,1,23,1,8,1,1,0.768664121628
28,Sent,1,54,2,NA,2,1,0.669194936752
29,Sent,1,47,2,NA,2,1,0.785948991776
30,Sent,1,72,1,8,1,1,0.769307136536
31,Nonw,1,81,1,2,2,0,1.03420305252
32,Nonw,1,78,2,NA,1,0,1.16789889336
33,Nonw,1,103,2,NA,2,1,1.20181918144
34,Sent,1,10,2,NA,2,1,0.819693803787
35,Sent,1,30,1,8,1,1,1.21790385246
36,Sent,1,53,2,NA,2,1,0.819185972214
NA,fixation,NA,NA,NA,NA,NA,NA,NA
37,Sent,1,11,1,11,1,1,0.886583805084
38,Sent,1,83,1,4,1,1,0.853076934814
39,Sent,1,92,1,11,1,1,0.719378948212
40,Nonw,1,69,1,8,1,1,0.970175981522
41,Nonw,1,10,2,NA,2,1,0.769520044327
42,Nonw,1,99,1,7,1,1,0.986668109894
43,Nonw,1,57,2,NA,2,1,0.869502782822
44,Nonw,1,104,1,7,1,1,0.986357927322
45,Nonw,1,95,2,NA,2,1,1.01747393608
46,Sent,1,80,2,NA,2,1,0.802870035172
47,Sent,1,68,1,7,1,1,0.919984102249
48,Sent,1,110,2,NA,2,1,0.903486013412
NA,fixation,NA,NA,NA,NA,NA,NA,NA
