trial_number,condition,subcondition,item_number,probe,corprobe_position,button_pressed,accuracy,rt
NA,fixation,NA,NA,NA,NA,NA,NA,NA
1,Sent,1,103,2,NA,2,1,0.837378978729
2,Sent,1,80,2,NA,2,1,1.30248904228
3,Sent,1,111,1,1,1,1,0.869825839996
4,Nonw,1,68,2,NA,2,1,0.76949095726
5,Nonw,1,91,1,1,1,1,0.93648314476
6,Nonw,1,70,2,NA,2,1,0.752848863602
7,Nonw,1,83,2,NA,1,0,1.08457612991
8,Nonw,1,53,2,NA,2,1,0.736037015915
9,Nonw,1,84,2,NA,2,1,0.769448041916
10,Sent,1,5,1,9,1,1,0.919852018356
11,Sent,1,26,2,NA,2,1,0.819622993469
12,Sent,1,20,2,NA,2,1,0.787910938263
NA,fixation,NA,NA,NA,NA,NA,NA,NA
13,Nonw,1,116,2,NA,2,1,0.986663103104
14,Nonw,1,11,2,NA,2,1,1.03440284729
15,Nonw,1,23,1,8,1,1,0.936478853226
16,Sent,1,6,1,1,1,1,1.03408002853
17,Sent,1,116,2,NA,2,1,0.869797945023
18,Sent,1,22,1,5,1,1,0.769580841064
19,Nonw,1,89,2,NA,2,1,0.955541849136
20,Nonw,1,37,2,NA,1,0,0.953265190125
21,Nonw,1,3,2,NA,2,1,0.786103010178
22,Sent,1,52,2,NA,2,1,0.836320877075
23,Sent,1,56,2,NA,2,1,0.836580038071
24,Sent,1,32,1,11,1,1,0.802838087082
NA,fixation,NA,NA,NA,NA,NA,NA,NA
25,Sent,1,34,1,3,1,1,0.752736091614
26,Sent,1,76,2,NA,2,1,0.754502058029
27,Sent,1,46,2,NA,2,1,0.869645118713
28,Nonw,1,78,1,6,2,0,1.25155997276
29,Nonw,1,43,2,NA,2,1,0.93713092804
30,Nonw,1,57,2,NA,2,1,0.886411905289
31,Sent,1,83,1,4,1,1,0.871904850006
32,Sent,1,87,1,6,1,1,0.855247974396
33,Sent,1,82,1,8,1,1,0.903166055679
34,Nonw,1,19,2,NA,2,1,0.869351148605
35,Nonw,1,42,1,1,1,1,1.03385186195
36,Nonw,1,106,2,NA,1,0,1.0678319931
NA,fixation,NA,NA,NA,NA,NA,NA,NA
37,Nonw,1,54,2,NA,2,1,0.919674873352
38,Nonw,1,48,2,NA,2,1,0.972470998764
39,Nonw,1,58,2,NA,2,1,1.05106306076
40,Sent,1,19,2,NA,2,1,0.902947187424
41,Sent,1,30,2,NA,2,1,0.769484996796
42,Sent,1,104,1,7,1,1,0.769400835037
43,Sent,1,66,2,NA,2,1,1.00595879555
44,Sent,1,49,2,NA,2,1,0.786175012589
45,Sent,1,73,1,2,1,1,0.869692802429
46,Nonw,1,64,2,NA,2,1,1.03417301178
47,Nonw,1,14,2,NA,1,0,1.25134801865
48,Nonw,1,59,1,9,2,0,1.15178012848
NA,fixation,NA,NA,NA,NA,NA,NA,NA
