onset	duration	is_target	trial_type
 228.000000 	0.5	0	face
 228.500000 	0.5	0	face
 229.000000 	0.5	0	face
 229.500000 	0.5	0	face
 230.000000 	0.5	0	face
 230.500000 	0.5	0	face
 231.000000 	0.5	0	face
 231.500000 	0.5	0	face
 232.000000 	0.5	0	car
 232.500000 	0.5	0	car
 233.000000 	0.5	0	car
 233.500000 	0.5	1	scrambled
 234.000000 	0.5	0	car
 234.500000 	0.5	0	car
 235.000000 	0.5	0	car
 235.500000 	0.5	0	car
 236.000000 	0.5	0	blank
 236.500000 	0.5	0	blank
 237.000000 	0.5	0	blank
 237.500000 	0.5	0	blank
 238.000000 	0.5	0	blank
 238.500000 	0.5	0	blank
 239.000000 	0.5	0	blank
 239.500000 	0.5	0	blank
 240.000000 	0.5	0	blank
 240.500000 	0.5	0	blank
 241.000000 	0.5	0	blank
 241.500000 	0.5	0	blank
 242.000000 	0.5	0	blank
 242.500000 	0.5	0	blank
 243.000000 	0.5	0	blank
 243.500000 	0.5	0	blank
 244.000000 	0.5	0	number
 244.500000 	0.5	0	number
 245.000000 	0.5	0	number
 245.500000 	0.5	1	scrambled
 246.000000 	0.5	0	number
 246.500000 	0.5	0	number
 247.000000 	0.5	0	number
 247.500000 	0.5	0	number
 248.000000 	0.5	0	car
 248.500000 	0.5	0	car
 249.000000 	0.5	0	car
 249.500000 	0.5	0	car
 250.000000 	0.5	0	car
 250.500000 	0.5	0	car
 251.000000 	0.5	1	scrambled
 251.500000 	0.5	0	car
 252.000000 	0.5	0	limb
 252.500000 	0.5	1	scrambled
 253.000000 	0.5	0	limb
 253.500000 	0.5	0	limb
 254.000000 	0.5	0	limb
 254.500000 	0.5	0	limb
 255.000000 	0.5	0	limb
 255.500000 	0.5	0	limb
 256.000000 	0.5	0	place
 256.500000 	0.5	0	place
 257.000000 	0.5	0	place
 257.500000 	0.5	0	place
 258.000000 	0.5	0	place
 258.500000 	0.5	0	place
 259.000000 	0.5	0	place
 259.500000 	0.5	0	place
 260.000000 	0.5	0	house
 260.500000 	0.5	0	house
 261.000000 	0.5	0	house
 261.500000 	0.5	0	house
 262.000000 	0.5	0	house
 262.500000 	0.5	1	scrambled
 263.000000 	0.5	0	house
 263.500000 	0.5	0	house
 264.000000 	0.5	0	face
 264.500000 	0.5	0	face
 265.000000 	0.5	0	face
 265.500000 	0.5	0	face
 266.000000 	0.5	0	face
 266.500000 	0.5	0	face
 267.000000 	0.5	1	scrambled
 267.500000 	0.5	0	face
 268.000000 	0.5	0	limb
 268.500000 	0.5	0	limb
 269.000000 	0.5	0	limb
 269.500000 	0.5	0	limb
 270.000000 	0.5	0	limb
 270.500000 	0.5	0	limb
 271.000000 	0.5	0	limb
 271.500000 	0.5	0	limb
 272.000000 	0.5	0	word
 272.500000 	0.5	0	word
 273.000000 	0.5	0	word
 273.500000 	0.5	0	word
 274.000000 	0.5	0	word
 274.500000 	0.5	1	scrambled
 275.000000 	0.5	0	word
 275.500000 	0.5	0	word
 276.000000 	0.5	0	car
 276.500000 	0.5	0	car
 277.000000 	0.5	0	car
 277.500000 	0.5	0	car
 278.000000 	0.5	0	car
 278.500000 	0.5	0	car
 279.000000 	0.5	0	car
 279.500000 	0.5	0	car
 280.000000 	0.5	0	guitar
 280.500000 	0.5	0	guitar
 281.000000 	0.5	0	guitar
 281.500000 	0.5	0	guitar
 282.000000 	0.5	0	guitar
 282.500000 	0.5	0	guitar
 283.000000 	0.5	0	guitar
 283.500000 	0.5	0	guitar
 284.000000 	0.5	0	place
 284.500000 	0.5	0	place
 285.000000 	0.5	0	place
 285.500000 	0.5	0	place
 286.000000 	0.5	0	place
 286.500000 	0.5	0	place
 287.000000 	0.5	1	scrambled
 287.500000 	0.5	0	place
 288.000000 	0.5	0	word
 288.500000 	0.5	0	word
 289.000000 	0.5	0	word
 289.500000 	0.5	0	word
 290.000000 	0.5	0	word
 290.500000 	0.5	0	word
 291.000000 	0.5	0	word
 291.500000 	0.5	0	word
 292.000000 	0.5	0	face
 292.500000 	0.5	0	face
 293.000000 	0.5	0	face
 293.500000 	0.5	0	face
 294.000000 	0.5	0	face
 294.500000 	0.5	0	face
 295.000000 	0.5	0	face
 295.500000 	0.5	1	scrambled
 296.000000 	0.5	0	word
 296.500000 	0.5	0	word
 297.000000 	0.5	0	word
 297.500000 	0.5	0	word
 298.000000 	0.5	0	word
 298.500000 	0.5	0	word
 299.000000 	0.5	0	word
 299.500000 	0.5	0	word
 300.000000 	0.5	0	blank
 300.500000 	0.5	0	blank
 301.000000 	0.5	0	blank
 301.500000 	0.5	0	blank
 302.000000 	0.5	0	blank
 302.500000 	0.5	0	blank
 303.000000 	0.5	0	blank
 303.500000 	0.5	0	blank
 304.000000 	0.5	0	blank
 304.500000 	0.5	0	blank
