onset	duration	stimulus_type	accuracy	response_time	trial_type
18.3	4	Sent	1.0	n/a	sentence
22.3	1	Sent	1.0	1.21738696098	probe
24.3	4	Sent	1.0	n/a	sentence
28.3	1	Sent	1.0	0.867871046066	probe
30.3	4	Sent	1.0	n/a	sentence
34.3	1	Sent	1.0	1.03401994705	probe
36.3	4	Nonw	1.0	n/a	sentence
40.3	1	Nonw	1.0	0.884438991547	probe
42.3	4	Nonw	1.0	n/a	sentence
46.3	1	Nonw	1.0	1.05134797096	probe
48.3	4	Nonw	0.0	n/a	sentence
52.3	1	Nonw	0.0	0.934548854828	probe
54.3	4	Nonw	1.0	n/a	sentence
58.3	1	Nonw	1.0	0.901070833206	probe
60.3	4	Nonw	0.0	n/a	sentence
64.3	1	Nonw	0.0	0.851196050644	probe
66.3	4	Nonw	1.0	n/a	sentence
70.3	1	Nonw	1.0	0.834578037262	probe
72.3	4	Sent	1.0	n/a	sentence
76.3	1	Sent	1.0	0.834501028061	probe
78.3	4	Sent	0.0	n/a	sentence
82.3	1	Sent	0.0	0.901220083237	probe
84.3	4	Sent	1.0	n/a	sentence
88.3	1	Sent	1.0	1.03404998779	probe
108.3	4	Nonw	1.0	n/a	sentence
112.3	1	Nonw	1.0	1.10040307045	probe
114.3	4	Nonw	1.0	n/a	sentence
118.3	1	Nonw	1.0	0.951879024506	probe
120.3	4	Nonw	1.0	n/a	sentence
124.3	1	Nonw	1.0	1.35079503059	probe
126.3	4	Sent	1.0	n/a	sentence
130.3	1	Sent	1.0	0.801069021225	probe
132.3	4	Sent	1.0	n/a	sentence
136.3	1	Sent	1.0	1.050770998	probe
138.3	4	Sent	1.0	n/a	sentence
142.3	1	Sent	1.0	0.984668970108	probe
144.3	4	Nonw	1.0	n/a	sentence
148.3	1	Nonw	1.0	1.00133800507	probe
150.3	4	Nonw	0.0	n/a	sentence
154.3	1	Nonw	0.0	1.13449597359	probe
156.3	4	Nonw	0.0	n/a	sentence
160.3	1	Nonw	0.0	1.33428907394	probe
162.3	4	Sent	1.0	n/a	sentence
166.3	1	Sent	1.0	0.96800994873	probe
168.3	4	Sent	1.0	n/a	sentence
172.3	1	Sent	1.0	0.767832994461	probe
174.3	4	Sent	1.0	n/a	sentence
178.3	1	Sent	1.0	0.984516859055	probe
198.3	4	Sent	1.0	n/a	sentence
202.3	1	Sent	1.0	0.951192140579	probe
204.3	4	Sent	1.0	n/a	sentence
208.3	1	Sent	1.0	0.801250934601	probe
210.3	4	Sent	1.0	n/a	sentence
214.3	1	Sent	1.0	0.784465074539	probe
216.3	4	Nonw	1.0	n/a	sentence
220.3	1	Nonw	1.0	1.06735515594	probe
222.3	4	Nonw	1.0	n/a	sentence
226.3	1	Nonw	1.0	1.10074090958	probe
228.3	4	Nonw	0.0	n/a	sentence
232.3	1	Nonw	0.0	1.35082197189	probe
234.3	4	Sent	1.0	n/a	sentence
238.3	1	Sent	1.0	0.784648895264	probe
240.3	4	Sent	0.0	n/a	sentence
244.3	1	Sent	0.0	0.901172876358	probe
246.3	4	Sent	1.0	n/a	sentence
250.3	1	Sent	1.0	0.950778961182	probe
252.3	4	Nonw	0.0	n/a	sentence
256.3	1	Nonw	0.0	1.35030412674	probe
258.3	4	Nonw	1.0	n/a	sentence
262.3	1	Nonw	1.0	1.21751904488	probe
264.3	4	Nonw	1.0	n/a	sentence
268.3	1	Nonw	1.0	0.934715986252	probe
288.3	4	Nonw	1.0	n/a	sentence
292.3	1	Nonw	1.0	1.03416991234	probe
294.3	4	Nonw	0.0	n/a	sentence
298.3	1	Nonw	0.0	1.00105309486	probe
300.3	4	Nonw	1.0	n/a	sentence
304.3	1	Nonw	1.0	1.1342689991	probe
306.3	4	Sent	1.0	n/a	sentence
310.3	1	Sent	1.0	1.01731109619	probe
312.3	4	Sent	1.0	n/a	sentence
316.3	1	Sent	1.0	0.867841005325	probe
318.3	4	Sent	1.0	n/a	sentence
322.3	1	Sent	1.0	0.901197910309	probe
324.3	4	Sent	1.0	n/a	sentence
328.3	1	Sent	1.0	0.73438501358	probe
330.3	4	Sent	1.0	n/a	sentence
334.3	1	Sent	1.0	0.718392133713	probe
336.3	4	Sent	n/a	n/a	sentence
340.3	1	Sent	n/a	n/a	probe
342.3	4	Nonw	1.0	n/a	sentence
346.3	1	Nonw	1.0	0.967921972275	probe
348.3	4	Nonw	1.0	n/a	sentence
352.3	1	Nonw	1.0	0.834449052811	probe
354.3	4	Nonw	1.0	n/a	sentence
358.3	1	Nonw	1.0	0.984821081161	probe
