onset	duration	stimulus_type	accuracy	response_time	trial_type
18.3	4	Sent	1.0	n/a	sentence
22.3	1	Sent	1.0	0.906230926514	probe
24.3	4	Sent	1.0	n/a	sentence
28.3	1	Sent	1.0	0.869802951813	probe
30.3	4	Sent	1.0	n/a	sentence
34.3	1	Sent	1.0	0.869579076767	probe
36.3	4	Nonw	1.0	n/a	sentence
40.3	1	Nonw	1.0	0.936666965485	probe
42.3	4	Nonw	1.0	n/a	sentence
46.3	1	Nonw	1.0	0.986749887466	probe
48.3	4	Nonw	1.0	n/a	sentence
52.3	1	Nonw	1.0	1.00670099258	probe
54.3	4	Nonw	1.0	n/a	sentence
58.3	1	Nonw	1.0	0.852936029434	probe
60.3	4	Nonw	1.0	n/a	sentence
64.3	1	Nonw	1.0	0.802848100662	probe
66.3	4	Nonw	1.0	n/a	sentence
70.3	1	Nonw	1.0	0.903140068054	probe
72.3	4	Sent	1.0	n/a	sentence
76.3	1	Sent	1.0	1.13441181183	probe
78.3	4	Sent	1.0	n/a	sentence
82.3	1	Sent	1.0	0.687879800797	probe
84.3	4	Sent	1.0	n/a	sentence
88.3	1	Sent	1.0	0.736080884933	probe
108.3	4	Nonw	1.0	n/a	sentence
112.3	1	Nonw	1.0	0.821979999542	probe
114.3	4	Nonw	0.0	n/a	sentence
118.3	1	Nonw	0.0	1.03424596786	probe
120.3	4	Nonw	1.0	n/a	sentence
124.3	1	Nonw	1.0	0.869866132736	probe
126.3	4	Sent	1.0	n/a	sentence
130.3	1	Sent	1.0	0.919858932495	probe
132.3	4	Sent	1.0	n/a	sentence
136.3	1	Sent	1.0	0.836373090744	probe
138.3	4	Sent	1.0	n/a	sentence
142.3	1	Sent	1.0	0.821922063828	probe
144.3	4	Nonw	1.0	n/a	sentence
148.3	1	Nonw	1.0	0.836334943771	probe
150.3	4	Nonw	1.0	n/a	sentence
154.3	1	Nonw	1.0	0.869757890701	probe
156.3	4	Nonw	1.0	n/a	sentence
160.3	1	Nonw	1.0	0.752751111984	probe
162.3	4	Sent	1.0	n/a	sentence
166.3	1	Sent	1.0	0.769370079041	probe
168.3	4	Sent	1.0	n/a	sentence
172.3	1	Sent	1.0	0.855301141739	probe
174.3	4	Sent	1.0	n/a	sentence
178.3	1	Sent	1.0	0.769712924957	probe
198.3	4	Sent	1.0	n/a	sentence
202.3	1	Sent	1.0	0.788271188736	probe
204.3	4	Sent	1.0	n/a	sentence
208.3	1	Sent	1.0	0.769396781921	probe
210.3	4	Sent	1.0	n/a	sentence
214.3	1	Sent	1.0	0.769381999969	probe
216.3	4	Nonw	1.0	n/a	sentence
220.3	1	Nonw	1.0	1.10101318359	probe
222.3	4	Nonw	1.0	n/a	sentence
226.3	1	Nonw	1.0	0.869983196259	probe
228.3	4	Nonw	1.0	n/a	sentence
232.3	1	Nonw	1.0	0.855361938477	probe
234.3	4	Sent	1.0	n/a	sentence
238.3	1	Sent	1.0	0.886419057846	probe
240.3	4	Sent	1.0	n/a	sentence
244.3	1	Sent	1.0	0.735603094101	probe
246.3	4	Sent	1.0	n/a	sentence
250.3	1	Sent	1.0	0.769442081451	probe
252.3	4	Nonw	1.0	n/a	sentence
256.3	1	Nonw	1.0	0.903135061264	probe
258.3	4	Nonw	1.0	n/a	sentence
262.3	1	Nonw	1.0	0.922950029373	probe
264.3	4	Nonw	1.0	n/a	sentence
268.3	1	Nonw	1.0	0.836227893829	probe
288.3	4	Nonw	1.0	n/a	sentence
292.3	1	Nonw	1.0	0.737648010254	probe
294.3	4	Nonw	1.0	n/a	sentence
298.3	1	Nonw	1.0	0.852742910385	probe
300.3	4	Nonw	1.0	n/a	sentence
304.3	1	Nonw	1.0	0.869613170624	probe
306.3	4	Sent	1.0	n/a	sentence
310.3	1	Sent	1.0	0.802942991257	probe
312.3	4	Sent	1.0	n/a	sentence
316.3	1	Sent	1.0	0.752897024155	probe
318.3	4	Sent	1.0	n/a	sentence
322.3	1	Sent	1.0	0.838886022568	probe
324.3	4	Sent	1.0	n/a	sentence
328.3	1	Sent	1.0	0.735862016678	probe
330.3	4	Sent	1.0	n/a	sentence
334.3	1	Sent	1.0	0.802873134613	probe
336.3	4	Sent	1.0	n/a	sentence
340.3	1	Sent	1.0	0.936564207077	probe
342.3	4	Nonw	1.0	n/a	sentence
346.3	1	Nonw	1.0	0.886370897293	probe
348.3	4	Nonw	1.0	n/a	sentence
352.3	1	Nonw	1.0	0.771290063858	probe
354.3	4	Nonw	1.0	n/a	sentence
358.3	1	Nonw	1.0	0.970052957535	probe
