onset	duration	stimulus_type	accuracy	response_time	trial_type
18.3	4	Sent	1.0	n/a	sentence
22.3	1	Sent	1.0	1.034085989	probe
24.3	4	Sent	1.0	n/a	sentence
28.3	1	Sent	1.0	0.819828033447	probe
30.3	4	Sent	1.0	n/a	sentence
34.3	1	Sent	1.0	1.10102200508	probe
36.3	4	Nonw	1.0	n/a	sentence
40.3	1	Nonw	1.0	1.15070009232	probe
42.3	4	Nonw	0.0	n/a	sentence
46.3	1	Nonw	0.0	0.970951080322	probe
48.3	4	Nonw	1.0	n/a	sentence
52.3	1	Nonw	1.0	0.936517000198	probe
54.3	4	Nonw	1.0	n/a	sentence
58.3	1	Nonw	1.0	0.969968080521	probe
60.3	4	Nonw	1.0	n/a	sentence
64.3	1	Nonw	1.0	0.869772911072	probe
66.3	4	Nonw	1.0	n/a	sentence
70.3	1	Nonw	1.0	1.15114784241	probe
72.3	4	Sent	0.0	n/a	sentence
76.3	1	Sent	0.0	0.802752971649	probe
78.3	4	Sent	1.0	n/a	sentence
82.3	1	Sent	1.0	0.652256965637	probe
84.3	4	Sent	1.0	n/a	sentence
88.3	1	Sent	1.0	0.702459096909	probe
108.3	4	Nonw	1.0	n/a	sentence
112.3	1	Nonw	1.0	0.80190205574	probe
114.3	4	Nonw	1.0	n/a	sentence
118.3	1	Nonw	1.0	0.919597148895	probe
120.3	4	Nonw	1.0	n/a	sentence
124.3	1	Nonw	1.0	1.00353288651	probe
126.3	4	Sent	1.0	n/a	sentence
130.3	1	Sent	1.0	0.903128147125	probe
132.3	4	Sent	1.0	n/a	sentence
136.3	1	Sent	1.0	0.936568021774	probe
138.3	4	Sent	1.0	n/a	sentence
142.3	1	Sent	1.0	1.01757788658	probe
144.3	4	Nonw	0.0	n/a	sentence
148.3	1	Nonw	0.0	1.23445606232	probe
150.3	4	Nonw	1.0	n/a	sentence
154.3	1	Nonw	1.0	1.03416514397	probe
156.3	4	Nonw	1.0	n/a	sentence
160.3	1	Nonw	1.0	0.869629144669	probe
162.3	4	Sent	1.0	n/a	sentence
166.3	1	Sent	1.0	0.852839946747	probe
168.3	4	Sent	1.0	n/a	sentence
172.3	1	Sent	1.0	0.769345998764	probe
174.3	4	Sent	1.0	n/a	sentence
178.3	1	Sent	1.0	0.986624002457	probe
198.3	4	Sent	1.0	n/a	sentence
202.3	1	Sent	1.0	0.60233092308	probe
204.3	4	Sent	1.0	n/a	sentence
208.3	1	Sent	1.0	0.836586952209	probe
210.3	4	Sent	1.0	n/a	sentence
214.3	1	Sent	1.0	0.936724901199	probe
216.3	4	Nonw	1.0	n/a	sentence
220.3	1	Nonw	1.0	1.1344370842	probe
222.3	4	Nonw	0.0	n/a	sentence
226.3	1	Nonw	0.0	1.03415489197	probe
228.3	4	Nonw	1.0	n/a	sentence
232.3	1	Nonw	1.0	0.869764089584	probe
234.3	4	Sent	1.0	n/a	sentence
238.3	1	Sent	1.0	0.785906076431	probe
240.3	4	Sent	1.0	n/a	sentence
244.3	1	Sent	1.0	0.702707052231	probe
246.3	4	Sent	1.0	n/a	sentence
250.3	1	Sent	1.0	0.869502067566	probe
252.3	4	Nonw	1.0	n/a	sentence
256.3	1	Nonw	1.0	0.919872999191	probe
258.3	4	Nonw	1.0	n/a	sentence
262.3	1	Nonw	1.0	0.986630916595	probe
264.3	4	Nonw	0.0	n/a	sentence
268.3	1	Nonw	0.0	1.26796293259	probe
288.3	4	Nonw	1.0	n/a	sentence
292.3	1	Nonw	1.0	0.93678188324	probe
294.3	4	Nonw	1.0	n/a	sentence
298.3	1	Nonw	1.0	1.25132608414	probe
300.3	4	Nonw	1.0	n/a	sentence
304.3	1	Nonw	1.0	0.752574920654	probe
306.3	4	Sent	1.0	n/a	sentence
310.3	1	Sent	1.0	0.836282014847	probe
312.3	4	Sent	1.0	n/a	sentence
316.3	1	Sent	1.0	0.969894886017	probe
318.3	4	Sent	1.0	n/a	sentence
322.3	1	Sent	1.0	0.752656936646	probe
324.3	4	Sent	1.0	n/a	sentence
328.3	1	Sent	1.0	0.886471033096	probe
330.3	4	Sent	1.0	n/a	sentence
334.3	1	Sent	1.0	0.936625957489	probe
336.3	4	Sent	1.0	n/a	sentence
340.3	1	Sent	1.0	1.0675868988	probe
342.3	4	Nonw	1.0	n/a	sentence
346.3	1	Nonw	1.0	1.2012720108	probe
348.3	4	Nonw	1.0	n/a	sentence
352.3	1	Nonw	1.0	0.886410951614	probe
354.3	4	Nonw	1.0	n/a	sentence
358.3	1	Nonw	1.0	0.971040964127	probe
